Title,Rating,Votes,Duration,Genre
Vivekam,8.2,308,104,Crime
Pathological: The Lies of Joran van der Sloot,6.5,347,93,Crime
Tiger Wolf Rabbit,6.2,506,126,Crime
La mort viendra,6.0,42,101,Crime
Brattt,4.7,67,117,Crime
Second Life,6.7,49,105,Crime
Holiday Hold-Up,5.6,69,89,Crime
Chithini,6.0,551,151,Crime
Kaliyugam Pattanamlo,6.6,2200,150,Crime
Kala Ratri,6.8,15,122,Crime
Rob N Roll,6.1,1500,98,Crime
Bheema,5.8,954,148,Crime
Kingdom Reign,8.4,38,119,Crime
Dark World,4.9,15,135,Crime
The Donor,9.0,9,23,Crime
Vojna policajtov,6.5,339,150,Crime
Raavsaheb,8.4,7,138,Crime
"Bullets, Brothers and Blood",7.8,15,85,Crime
Dark Deceptions,6.2,36,82,Crime
Killcon,9.5,14,31,Crime
Maven,9.4,44,135,Crime
Villain - Life of a Gangster,8.9,156,141,Crime
The Legend of the Vagabond Queen of Lagos,7.8,37,100,Crime
Gold Boy,6.5,134,129,Crime
Thirumbipaar,5.6,239,101,Crime
Protein,6.5,62,100,Crime
Pungut,6.9,12,100,Crime
Hain,2.9,45,95,Crime
Money No Enough 3,6.0,264,138,Crime
Dickweed,7.1,36,90,Crime
CHAAW: Chapter 3 - Christmas Time Is Here,7.9,475,72,Crime
GATAO: Like Father Like Son,6.8,70,100,Crime
Suspicion,3.6,211,115,Crime
Lipstick,6.4,28,145,Crime
Raktaksha,8.0,1400,118,Crime
Nico,8.3,46,109,Crime
Valleyheart,8.8,37,98,Crime
Blood Dried Hands,5.4,36,115,Crime
Whatever It Takes,8.3,14,93,Crime
4N6,9.6,62,117,Crime
Thankamani,4.6,229,156,Crime
Abudeka Is Back,5.3,35,120,Crime
State of Silence,6.5,110,80,Crime
Abnormal: Buas,5.6,26,90,Crime
Niyathi,6.8,172,113,Crime
Housekeeping,6.0,41,98,Crime
Landkrimi: Steirergift,6.3,67,90,Crime
Crime Reel,7.5,141,111,Crime
Tiempo de Pagar,7.4,48,63,Crime
Chitram Choodara,4.6,15,127,Crime
Charlotte Link - Ohne Schuld,5.5,41,89,Crime
A Place Under the Sun,9.2,35,110,Crime
Meitantei Conan Bâsasu Kaitô Kiddo,6.1,162,81,Crime
Pepe,5.0,493,126,Crime
Nasha Jurm Aur Gangsters,6.6,2600,137,Crime
Secret Home,8.3,148,117,Crime
The Victims,5.9,84,99,Crime
Bury Him,7.4,13,88,Crime
Gossip to Die For,5.3,82,94,Crime
Nelma Kodama: The Queen of Dirty Money,5.5,184,94,Crime
Porch Pirates,5.0,104,107,Crime
Who Killed Angel Adams?,6.3,24,76,Crime
Snowstorm,4.5,6,91,Crime
ONENESS,9.3,18,115,Crime
Thozhar Che Guevara,5.1,37,120,Crime
Supplier Shankara,9.3,71,163,Crime
Dream Lock,8.6,21,100,Crime
The Stix,7.2,32,123,Crime
Three Old Boys,4.8,97,108,Crime
The Good Loan Sharks,5.0,75,122,Crime
My Home Hero the Movie,6.1,8,117,Crime
Game Over,5.7,20,74,Crime
Common Sense,2.5,20,68,Crime
Lipstick on the Glass,4.6,12,116,Crime
Anyone Else But Me,7.0,153,95,Crime
The Bodyguard,6.6,30,87,Crime
Kurukku,6.6,532,109,Crime
Lorry Chapter-1,5.7,2400,183,Crime
Aranam,7.5,402,127,Crime
Welcome to the Game,5.9,64,90,Crime
Diari de la meva sextorsió,6.5,53,64,Crime
Historias invisibles,6.4,27,110,Crime
Paarijathaparvam,6.2,2300,133,Crime
Nietzsche's Umbrella,8.7,21,86,Crime
Maloney - Die ersten drei haarsträubenden Fälle,6.7,76,98,Crime
Murder in a Teacup,6.3,148,93,Crime
Uno Sir,6.4,44,106,Crime
Searching for Amani,7.9,31,80,Crime
First Rites,7.0,5,114,Crime
Routa,6.5,31,127,Crime
G - 21 scener från Gottsunda,7.0,184,80,Crime
Jama,6.3,16,71,Crime
Ugravatara,7.9,552,122,Crime
Orah,7.1,20,95,Crime
Kiyma: Orman Kanunlari,4.5,36,81,Crime
Muzhskoe slovo,6.5,462,94,Crime
Muroi Shinji: Yaburezaru Mono,7.7,7,115,Crime
"Milk, Rice, and the Blood",9.0,53,45,Crime
A Valentine's Day,8.4,9,126,Crime
The Dealer,8.3,12,120,Crime
Jaspal,7.3,28,106,Crime
Opportunity,8.9,91,96,Crime
Theppa Samudram,7.4,1600,133,Crime
Tschugger - Der Lätscht Fall,8.1,165,147,Crime
Siragan,7.0,152,130,Crime
Grey Games,8.8,1100,121,Crime
Vergüenza,6.9,23,103,Crime
Myall Creek Day of Justice,6.4,17,78,Crime
Atlanta 10.02,5.3,14,45,Crime
The Housewife and the Hustler 2: The Reckoning,6.5,44,94,Crime
Salvajes,5.6,60,90,Crime
Haunting Trophies,7.7,66,150,Crime
Untouchable,4.5,88,112,Crime
Rancor,7.0,34,83,Crime
Laandhar,4.1,97,117,Crime
Los Justos,6.4,74,79,Crime
Hocus Focus,7.9,19,85,Crime
Jog 101,6.6,497,107,Crime
The Bottom Line,6.5,12,107,Crime
Mukhya Gamanika,8.5,2100,125,Crime
"Fallen Leaves, Broken Lighters",7.7,7,96,Crime
Scapegoat,7.0,22,85,Crime
Common Creed: Trafficking,6.7,8,106,Crime
Malam Pertobatan,6.8,11,81,Crime
Aaro,4.5,13,120,Crime
Gull Lake Vice II: The Delusion Continues,8.2,16,58,Crime
Ingu Mirugangal Vaazhum Idam,6.2,14,108,Crime
Lesní vrah,4.2,78,78,Crime
Abduction Chronicles,8.4,36,126,Crime
Yathabhava,8.3,28,127,Crime
Below the Rim,5.0,16,89,Crime
Break War,2.4,15,86,Crime
Bigul,9.3,46,144,Crime
Agontuk,5.5,23,125,Crime
Walk the Line,5.5,94,115,Crime
Rhino Man,8.8,42,96,Crime
The London Underground Killer,4.7,92,91,Crime
Gally Gang Stars,9.0,2000,157,Crime
Blue Christmas,5.6,21,79,Crime
"Compa, me gusta su vieja",5.7,20,86,Crime
Jalandhara,9.2,545,110,Crime
5D,8.2,578,129,Crime
Blitz,7.2,8,6,Crime
Chacaleria,8.1,419,116,Crime
Vallavan Vaguthadhada,6.5,56,104,Crime
Lolipop Gang,3.6,6,90,Crime
Vengeful,6.1,18,100,Crime
Don't Love,7.8,1500,177,Crime
The Real Story of January 6: Part 2 - The Long Road Home,6.2,29,90,Crime
Little Black Submarines,6.9,57,123,Crime
Insurance Jimmy,6.9,148,110,Crime
The Deal,8.5,26,130,Crime
Passagrana,6.5,129,100,Crime
Shina,7.5,7,98,Crime
Die Bloedhonde,6.3,10,97,Crime
Sangharshana,7.3,1600,102,Crime
Rangeli,9.4,93,140,Crime
Dai jia fa de ren,5.4,59,121,Crime
Novyy god v Beryozovke,7.1,99,94,Crime
Kaçkin,7.6,9,104,Crime
Kunstroof,7.0,43,102,Crime
Pinnil Oral,6.0,113,127,Crime
AK47,7.2,14,146,Crime
Koresha,3.0,63,86,Crime
Guxim,7.7,34,75,Crime
Above the Trees,6.5,14,125,Crime
Leha,2.3,42,98,Crime
What Lies Within,5.3,13,90,Crime
SMB-plush presents trick or death,8.8,16,120,Crime
La Tamalera,8.2,9,115,Crime
Downfall of the Crypto King (theatrical feature),6.2,28,90,Crime
Pink Butterfly,5.7,55,109,Crime
Liebling Kreuzberg 2.0,5.1,50,89,Crime
A Frozen Rage,5.4,47,115,Crime
A Reel Heist,5.2,58,116,Crime
Mun Kaupunki,6.6,22,105,Crime
Beauty Grace Malice,7.6,44,81,Crime
Yurka,4.0,30,85,Crime
Mina and the Radio Bandits,7.3,44,110,Crime
Sharma & Ambani,9.1,183,104,Crime
Yaa Devi Sarva Bhuteshu,8.7,8,119,Crime
Shades of Sapphire,7.8,9,77,Crime
Ata Nirjon Duporiya,8.0,10,103,Crime
Real Estate Sisters,4.8,17,84,Crime
Dead Name,9.0,11,84,Crime
Thirsty for Likes,4.0,38,46,Crime
Spending Some Time Together,6.9,28,146,Crime
No Loose Ends,6.7,9,68,Crime
Who Do You Trust?,3.6,40,96,Crime
Bayamariya Brammai,8.8,25,88,Crime
7vens Law,9.4,20,68,Crime
Conviction,7.0,36,97,Crime
Vrutos,8.4,9,100,Crime
Netru Indha Neram,5.5,136,140,Crime
Water Mafia,9.2,13,45,Crime
Dheera Samrat,9.8,99,123,Crime
Full Clip for a Snitch,3.9,18,75,Crime
Give Me a Ride,5.0,16,102,Crime
El Junior Del Patron,7.4,10,92,Crime
Dawgz Life,8.0,11,143,Crime
Slapes,6.8,31,82,Crime
All Suspects,3.6,19,96,Crime
So It Goes,3.3,19,77,Crime
Namak,4.5,13,75,Crime
Los Hijos De Camelia y Emilio,6.4,28,82,Crime
Nacida Para Vengar,8.0,9,102,Crime
Po du xing dong,6.8,5,79,Crime
The AI Dharma Story,2.5,1100,89,Crime
The Burned Hand,8.0,12,85,Crime
The Kills,8.8,9,70,Crime
Jimmy's Friends,7.0,11,94,Crime
El Cartel De Teresa,8.0,9,96,Crime
El Juego Del Poder,7.8,10,95,Crime
Kenda,8.9,20,135,Crime
Randa Ramphal,8.5,8,70,Crime
Detroit Ransom,6.8,11,76,Crime
Lealtad o Morir,8.2,9,87,Crime
Der Wien-Krimi: Blind ermittelt - Tod im Palais,6.9,30,88,Crime
Las Hermanas Del Cartel,8.2,5,91,Crime
La Nueva Camelia,5.4,17,95,Crime
Duelo De Capos,6.3,28,83,Crime
Runnin' from Wolves,7.2,10,133,Crime
Beautifully Broken People,8.9,9,75,Crime
Cageling,5.9,8,69,Crime
A Complete Unknown,7.4,75000,141,Biography
I'm Still Here,8.3,105000,137,Biography
The Apprentice,7.1,55000,122,Biography
Queer,6.4,21000,137,Biography
Better Man,7.6,27000,135,Biography
Saturday Night,6.9,30000,109,Biography
Queen of the Ring,6.9,941,140,Biography
Maria,6.4,19000,124,Biography
William Tell,5.7,2500,133,Biography
One to One: John & Yoko,7.3,307,100,Biography
Nr. 24,7.5,15000,111,Biography
Bob Marley: One Love,6.2,35000,107,Biography
Back to Black,6.3,27000,122,Biography
Ordinary Angels,7.4,16000,118,Biography
Unfrosted,5.5,35000,97,Biography
Reagan,6.1,11000,141,Biography
Bonhoeffer: Pastor. Spy. Assassin.,6.2,3600,133,Biography
Joy,7.1,9400,115,Biography
Young Woman and the Sea,7.5,17000,129,Biography
Cabrini,7.3,8700,142,Biography
Amaran,8.1,19000,167,Biography
Midas Man,6.4,1600,112,Biography
The Fire Inside,6.7,2600,109,Biography
Piece by Piece,6.9,5400,93,Biography
Scoop,6.5,20000,102,Biography
Rob Peace,6.5,2100,120,Biography
Faith of Angels,5.8,228,98,Biography
Harbin,6.2,651,108,Biography
Goebbels and the Führer,6.7,2200,135,Biography
The Remarkable Life of Ibelin,8.2,12000,103,Biography
Monsieur Aznavour,7.3,2400,133,Biography
Winner,6.5,2500,103,Biography
Being Maria,6.1,609,100,Biography
Audrey's Children,7.0,376,110,Biography
Inexplicável,7.3,134,116,Biography
Super/Man: The Christopher Reeve Story,8.0,9100,104,Biography
Maharaj,6.5,15000,131,Biography
Oxana,6.5,45,103,Biography
Stelios,7.3,1400,132,Biography
Fanon,7.1,93,132,Biography
Niki,6.0,366,98,Biography
Limonov: The Ballad of Eddie,6.0,797,138,Biography
Race for Glory: Audi vs. Lancia,5.8,4700,109,Biography
"From Hilde, with Love",7.0,923,125,Biography
Saint-Exupéry,5.4,326,98,Biography
El 47,7.2,3400,110,Biography
Chhava,8.4,2200,51,Biography
Riefenstahl,7.2,508,115,Biography
Boléro,6.6,786,120,Biography
Srikanth,7.4,14000,134,Biography
Avicii - I'm Tim,7.7,7000,95,Biography
Freedom,5.9,1400,110,Biography
Shirley,6.2,3300,117,Biography
"Sarah Bernhardt, la divine",6.0,208,98,Biography
Prodigieuses,6.6,167,101,Biography
Blue Road: The Edna O'Brien Story,8.2,64,99,Biography
Quisling: The Final Days,7.1,1100,146,Biography
Chandu Champion,7.8,34000,142,Biography
Drazen,6.6,1300,100,Biography
Pavements,7.1,166,128,Biography
Music by John Williams,8.2,4800,105,Biography
The Firing Squad,5.1,5000,93,Biography
Liza: A Truly Terrific Absolutely True Story,7.8,240,104,Biography
Bogart: Life Comes in Flashes,6.8,424,99,Biography
Maidaan,7.9,23000,181,Biography
Biggest Heist Ever,6.1,1500,85,Biography
Jim Henson: Idea Man,7.7,3900,111,Biography
The Bibi Files,7.5,1100,115,Biography
Ravens,8.0,80,117,Biography
I Am Nevenka,7.1,1100,112,Biography
The Ballad of Davy Crockett,4.6,248,96,Biography
Atatürk II: 1881-1919,8.9,2100,141,Biography
Janis Ian: Breaking Silence,8.1,58,114,Biography
Luther: Never Too Much,8.1,845,101,Biography
Amar Singh Chamkila,7.8,16000,145,Biography
Ol' Dirty Bastard: A Tale of Two Dirtys,6.7,203,86,Biography
Elton John: Never Too Late,6.5,1900,102,Biography
Swatantrya Veer Savarkar,7.7,18000,176,Biography
Havnaa,7.2,245,110,Biography
"Disco, Ibiza, Locomia",6.0,1500,104,Biography
Miyazaki: L'Esprit de la Nature,7.1,216,84,Biography
Miséria,5.3,101,99,Biography
The Great Ambition,7.2,713,123,Biography
The Beach Boys,7.1,2100,113,Biography
I Am: Celine Dion,7.7,7800,103,Biography
Road Diary: Bruce Springsteen and the E Street Band,7.7,995,99,Biography
Becoming Madonna,6.9,222,91,Biography
Federer: Twelve Final Days,7.3,4100,88,Biography
The Shamrock Spitfire,5.2,481,108,Biography
Beautiful Rebel,6.3,1000,112,Biography
John Cranko,7.1,188,133,Biography
La Grande,9.0,39,95,Biography
Papa,7.5,326,131,Biography
Faye,7.1,3100,91,Biography
The World According to Allee Willis,7.7,72,97,Biography
Never Look Away,7.2,265,85,Biography
Münter & Kandinsky,6.5,96,126,Biography
Oscar Wilde About America,4.4,28,98,Biography
Gundi: Legend of Love,9.0,5500,166,Biography
Taghiev: Oil,9.2,71,120,Biography
La casa,6.9,939,83,Biography
House of Ga'a,3.9,489,119,Biography
The Truth vs. Alex Jones,7.5,3000,121,Biography
Nahir,4.7,1100,122,Biography
Ae Watan Mere Watan,4.7,1400,133,Biography
Lula,5.6,186,90,Biography
Hola Frida,7.1,30,82,Biography
Vindication Swim,6.0,210,98,Biography
Main Atal Hoon,6.9,6300,139,Biography
Jenni,6.8,44,113,Biography
Cookster: The Darkest Days,8.2,40,119,Biography
Sabbath Queen,8.0,65,105,Biography
Samia,6.8,137,102,Biography
The Sidemen Story,6.7,1700,99,Biography
Becoming Hitchcock: The Legacy of Blackmail,7.2,263,72,Biography
ZEF: The Story of Die Antwoord,7.3,800,90,Biography
Silvio,3.0,514,114,Biography
Blood'less' Revolution,6.6,265,103,Biography
Diddy: Summit to Plummet,2.3,202,60,Biography
National Theatre Live: Nye,8.0,268,160,Biography
Marcella,8.9,18,97,Biography
Hayatla Baris,6.3,372,125,Biography
From Roger Moore with Love,7.4,334,79,Biography
The Life and Deaths of Christopher Lee,7.2,446,99,Biography
Mit einem Tiger schlafen,6.8,153,107,Biography
The Man Who Loved UFOs,5.2,598,107,Biography
Nedelja,7.2,1900,130,Biography
Giroud,6.1,17,80,Biography
Klitschko: More Than a Fight,6.3,506,96,Biography
Concepción,8.8,25,140,Biography
Stevie Van Zandt: Disciple,7.9,664,147,Biography
"Iki Gözüm Ahmet, Sürgün",3.7,139,113,Biography
Estimados Señores,7.7,61,98,Biography
Der Soldat Monika,7.1,23,109,Biography
Laura,6.5,237,104,Biography
Don't Ever Stop,9.5,26,85,Biography
Bir Cumhuriyet Sarkisi,7.7,386,128,Biography
Gary,6.6,534,91,Biography
Ennio Doris - C'è anche domani,5.3,100,90,Biography
Raghuveer,8.9,68,125,Biography
Daytime Revolution,6.8,92,108,Biography
Saint Nick of Bethlehem,9.2,101,93,Biography
Patrice: The Movie,8.3,228,102,Biography
Nasty,7.8,1100,103,Biography
Tears of Cem Karaca,7.2,2000,123,Biography
Funmilayo Ransome-Kuti,8.5,94,91,Biography
Hyper: The Stevie Hyper D Story,8.8,30,91,Biography
Sharon Stone: Survival Instinct,6.9,65,52,Biography
Dharmaveer 2,5.4,10000,130,Biography
Memoir Seorang Guru,7.1,125,120,Biography
"Carville: Winning Is Everything, Stupid",7.2,269,98,Biography
Padatik,7.9,106,126,Biography
Kulej. Dwie strony medalu,6.4,315,148,Biography
Michael Jackson: Ungloved,6.5,23,60,Biography
God Be with Us,6.3,15,90,Biography
Spyral,8.6,19,83,Biography
Sadik Ahmet,7.7,413,125,Biography
Levoton Tuhkimo,6.5,414,88,Biography
Il était une fois Michel Legrand,8.0,39,109,Biography
Madu,5.3,266,100,Biography
Sube a mi Nube,6.0,27,110,Biography
Simona Kossak,6.1,321,100,Biography
Vivekam,8.2,308,104,Biography
Harimau Malaya: The Untold Journey,8.2,22,125,Biography
Yatra 2,6.3,9700,132,Biography
Rock Bottom,6.9,43,86,Biography
A nuestros amigos,7.8,12,90,Biography
Komandir,6.4,522,131,Biography
Pastor's Kid,6.7,40,90,Biography
Wingless,7.8,94,110,Biography
Karina,7.1,17,91,Biography
Diane von Furstenberg: Woman in Charge,7.2,311,97,Biography
Chabuca,6.7,250,113,Biography
Gold,7.8,67,126,Biography
Faruk,6.6,412,97,Biography
Son Sarki: Ahmet'in Türküsü,1.6,110,101,Biography
Suzzanna: The Queen of Black Magic,6.6,43,88,Biography
Go Against the Flow,5.4,152,97,Biography
Shahid,6.5,84,84,Biography
Obraz,7.6,17,95,Biography
Satyashodhak,8.4,360,145,Biography
"François Truffaut, le scénario de ma vie",6.7,38,98,Biography
The Movie Man,7.7,173,89,Biography
Glenn Fredly: The Movie,6.8,124,121,Biography
Bach - Ein Weihnachtswunder,6.2,168,89,Biography
Padu,5.1,80,97,Biography
Born to Be Wild: The Story of Steppenwolf,7.2,39,100,Biography
Hope of Escape,7.7,41,91,Biography
Pod szarym niebem,7.2,43,81,Biography
Zuckerberg: King of the Metaverse,5.7,260,90,Biography
Beethoven's Nine: Ode to Humanity,6.9,22,85,Biography
Cartas Telepáticas,5.2,37,70,Biography
The Legend of Sudarshan Chakra,9.1,22,160,Biography
Un hombre libre,7.9,8,88,Biography
Charmian Clift: Life Burns High,7.9,15,80,Biography
Who Killed Lawrence of Arabia?,6.5,32,100,Biography
Knockout Blonde: The Kellie Maloney Story,5.9,21,90,Biography
Ruki vverkh!,5.5,255,102,Biography
Parviz Khan,6.0,207,110,Biography
Soares é Fixe,4.8,77,83,Biography
Powstaniec 1863,5.4,139,115,Biography
The Ballad of Suzanne Césaire,5.9,34,75,Biography
Ray of Hope,7.0,10,105,Biography
Joachim and the Apocalypse,7.2,13,90,Biography
Riv i hjertet,7.9,30,107,Biography
Fedya. Narodnyy futbolist,6.0,123,125,Biography
A Dangerous Boy,6.9,93,90,Biography
Manyam Dheerudu,5.3,3500,114,Biography
Niepewnosc,3.6,54,113,Biography
Ett hjärta är alltid rött,7.1,395,103,Biography
Iyunskaya polyn,10,5,79,Biography
Chhatrapati Sambhaji,5.6,233,186,Biography
Maurice And I,8.9,26,98,Biography
Bröderna Andersson,7.2,92,84,Biography
Harta Tahta Raisa,4.0,71,110,Biography
Me Dicen El Panzer,6.6,7,90,Biography
Main Mulayam Singh Yadav,3.8,198,120,Biography
La Joia: Bad Gyal,5.8,82,92,Biography
Nonkonform,7.9,15,117,Biography
La valanga azzurra,7.6,10,90,Biography
Looking for Simone,7.3,15,93,Biography
"Jacques Demy, le rose et le noir",7.1,13,88,Biography
Rhythm of a Flower,7.3,15,81,Biography
"Marisol, llámame Pepa",6.8,115,87,Biography
Lafran,8.2,15,99,Biography
Lulu in Turin,8.5,6,76,Biography
Ago,8.0,6,80,Biography
Janet Jackson: In Control,5.5,8,60,Biography
"Sean Penn, L'enfant terrible de l'Amérique",7.3,26,52,Biography
Yaremchuk: Nezrivniannyi svit krasy,8.6,462,92,Biography
Maria,4.2,22,60,Biography
COMA,9.5,9,80,Biography
"Mary, Marianna, Maria: Ta agnosta ellinika hronia tis Kallas",7.6,14,103,Biography
The Truth: The Journey Within,7.2,8,91,Biography
Nollbudget,8.3,11,72,Biography
"Dolly Parton: Bigger Hair, Bigger Heart",7.0,11,60,Biography
Shaking It Up: The Life and Times of Liz Carpenter,8.0,9,77,Biography
All Access to Rossa 25 Shining Years,8.7,65,91,Biography
Il ricercatore,5.8,7,71,Biography
"Kati: Eine Kür, die bleibt",6.1,85,99,Biography
It'll Never Work,9.6,30,57,Biography
9 sekund,4.6,62,91,Biography
Paul Anka: His Way,7.3,11,100,Biography
Davaj Paradiso,9.1,27,63,Biography
"Steven Spielberg, l'homme et l'enfant",6.4,14,56,Biography
No More Trouble - Cosa rimane di una tempesta,8.5,19,97,Biography
Not Taken: Origins,9.8,6,69,Biography
Insula Fondane (Fondane Island),8.8,12,82,Biography
Waldo,6.6,7,104,Biography
O familie aproape perfecta,5.4,8,88,Biography
The Ballad of John and Yoko,8.4,16,101,Biography
Barnen från Camp Ashraf,5.4,19,88,Biography
Tapes of Revolution,9.5,6,75,Biography
Graciano Rocchigiani - Das Herz eines Boxers,9.2,51,123,Biography
Nebesko,5.2,10,73,Biography
Im Schatten der Träume,8.2,10,90,Biography
Reba McEntire: Country Gold,7.5,10,60,Biography
Beethoven's Nine,7.6,11,90,Biography
Golpe a Golpe (Blow by Blow),8.1,23,90,Biography
Giannis Spanos: Piso ap' ti markiza,7.8,17,118,Biography
Brev til Håkon Banken,8.1,28,80,Biography
Palace Guardians,9.4,8,64,Biography
Beyaz Zenciler: Yapim Asamasi,8.6,5,55,Biography
Carles Sabater. No espereu res de mi,8.1,19,75,Biography
Veljko od mora,7.2,16,53,Biography
"Georges Pompidou, la cruauté du pouvoir",6.2,6,104,Biography
Toquinho: Encontros e um Violão,8.6,5,90,Biography
¡Qué suerte hemos tenido!,7.5,16,62,Biography
Gevart,7.3,70,34,Biography
"Lupicinio Rodrigues, Confissões de um Sofredor",7.0,5,99,Biography
87 Candles,8.9,9,55,Biography
